species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,sex,year,Identifier
Gentoo,Biscoe,46.8,16.1,215,male,2009,258
Gentoo,Biscoe,41.7,14.7,210,female,2009,259
Gentoo,Biscoe,53.4,15.8,219,male,2009,260
Gentoo,Biscoe,43.3,14,208,female,2009,261
Gentoo,Biscoe,48.1,15.1,209,male,2009,262
Gentoo,Biscoe,50.5,15.2,216,female,2009,263
Gentoo,Biscoe,49.8,15.9,229,male,2009,264
Gentoo,Biscoe,43.5,15.2,213,female,2009,265
Gentoo,Biscoe,51.5,16.3,230,male,2009,266
Gentoo,Biscoe,46.2,14.1,217,female,2009,267
Gentoo,Biscoe,55.1,16,230,male,2009,268
Gentoo,Biscoe,44.5,15.7,217,NA,2009,269
Gentoo,Biscoe,48.8,16.2,222,male,2009,270
Gentoo,Biscoe,47.2,13.7,214,female,2009,271
Gentoo,Biscoe,NA,NA,NA,NA,2009,272
Gentoo,Biscoe,46.8,14.3,215,female,2009,273
Gentoo,Biscoe,50.4,15.7,222,male,2009,274
Gentoo,Biscoe,45.2,14.8,212,female,2009,275
Gentoo,Biscoe,49.9,16.1,213,male,2009,276
Chinstrap,Dream,46.5,17.9,192,female,2007,277
Chinstrap,Dream,50,19.5,196,male,2007,278
Chinstrap,Dream,51.3,19.2,193,male,2007,279
Chinstrap,Dream,45.4,18.7,188,female,2007,280
Chinstrap,Dream,52.7,19.8,197,male,2007,281
Chinstrap,Dream,45.2,17.8,198,female,2007,282
Chinstrap,Dream,46.1,18.2,178,female,2007,283
Chinstrap,Dream,51.3,18.2,197,male,2007,284
Chinstrap,Dream,46,18.9,195,female,2007,285
Chinstrap,Dream,51.3,19.9,198,male,2007,286
Chinstrap,Dream,46.6,17.8,193,female,2007,287
Chinstrap,Dream,51.7,20.3,194,male,2007,288
Chinstrap,Dream,47,17.3,185,female,2007,289
Chinstrap,Dream,52,18.1,201,male,2007,290
Chinstrap,Dream,45.9,17.1,190,female,2007,291
Chinstrap,Dream,50.5,19.6,201,male,2007,292
Chinstrap,Dream,50.3,20,197,male,2007,293
Chinstrap,Dream,58,17.8,181,female,2007,294
Chinstrap,Dream,46.4,18.6,190,female,2007,295
Chinstrap,Dream,49.2,18.2,195,male,2007,296
Chinstrap,Dream,42.4,17.3,181,female,2007,297
Chinstrap,Dream,48.5,17.5,191,male,2007,298
Chinstrap,Dream,43.2,16.6,187,female,2007,299
Chinstrap,Dream,50.6,19.4,193,male,2007,300
Chinstrap,Dream,46.7,17.9,195,female,2007,301
Chinstrap,Dream,52,19,197,male,2007,302
Chinstrap,Dream,50.5,18.4,200,female,2008,303
Chinstrap,Dream,49.5,19,200,male,2008,304
Chinstrap,Dream,46.4,17.8,191,female,2008,305
Chinstrap,Dream,52.8,20,205,male,2008,306
Chinstrap,Dream,40.9,16.6,187,female,2008,307
Chinstrap,Dream,54.2,20.8,201,male,2008,308
Chinstrap,Dream,42.5,16.7,187,female,2008,309
Chinstrap,Dream,51,18.8,203,male,2008,310
Chinstrap,Dream,49.7,18.6,195,male,2008,311
Chinstrap,Dream,47.5,16.8,199,female,2008,312
Chinstrap,Dream,47.6,18.3,195,female,2008,313
Chinstrap,Dream,52,20.7,210,male,2008,314
Chinstrap,Dream,46.9,16.6,192,female,2008,315
Chinstrap,Dream,53.5,19.9,205,male,2008,316
Chinstrap,Dream,49,19.5,210,male,2008,317
Chinstrap,Dream,46.2,17.5,187,female,2008,318
Chinstrap,Dream,50.9,19.1,196,male,2008,319
Chinstrap,Dream,45.5,17,196,female,2008,320
Chinstrap,Dream,50.9,17.9,196,female,2009,321
Chinstrap,Dream,50.8,18.5,201,male,2009,322
Chinstrap,Dream,50.1,17.9,190,female,2009,323
Chinstrap,Dream,49,19.6,212,male,2009,324
Chinstrap,Dream,51.5,18.7,187,male,2009,325
Chinstrap,Dream,49.8,17.3,198,female,2009,326
Chinstrap,Dream,48.1,16.4,199,female,2009,327
Chinstrap,Dream,51.4,19,201,male,2009,328
Chinstrap,Dream,45.7,17.3,193,female,2009,329
Chinstrap,Dream,50.7,19.7,203,male,2009,330
Chinstrap,Dream,42.5,17.3,187,female,2009,331
Chinstrap,Dream,52.2,18.8,197,male,2009,332
Chinstrap,Dream,45.2,16.6,191,female,2009,333
Chinstrap,Dream,49.3,19.9,203,male,2009,334
Chinstrap,Dream,50.2,18.8,202,male,2009,335
Chinstrap,Dream,45.6,19.4,194,female,2009,336
Chinstrap,Dream,51.9,19.5,206,male,2009,337
Chinstrap,Dream,46.8,16.5,189,female,2009,338
Chinstrap,Dream,45.7,17,195,female,2009,339
Chinstrap,Dream,55.8,19.8,207,male,2009,340
Chinstrap,Dream,43.5,18.1,202,female,2009,341
Chinstrap,Dream,49.6,18.2,193,male,2009,342
Chinstrap,Dream,50.8,19,210,male,2009,343
Chinstrap,Dream,50.2,18.7,198,female,2009,344
