country,continent,year,pop,gdpPercap
Bosnia and Herzegovina,Europe,2002,4165416,6018.975239
Bosnia and Herzegovina,Europe,2007,4552198,7446.298803
Botswana,Africa,1962,512764,983.6539764
Botswana,Africa,1967,553541,1214.709294
Botswana,Africa,1972,619351,2263.611114
Botswana,Africa,1977,781472,3214.857818
Botswana,Africa,1982,970347,4551.14215
Botswana,Africa,1987,1151184,6205.88385
Botswana,Africa,1992,1342614,7954.111645
Botswana,Africa,1997,1536536,8647.142313
Botswana,Africa,2002,1630347,11003.60508
Botswana,Africa,2007,1639131,12569.85177
Brazil,Americas,1962,76039390,3336.585802
Brazil,Americas,1967,88049823,3429.864357
Brazil,Americas,1972,100840058,4985.711467
Brazil,Americas,1977,114313951,6660.118654
Brazil,Americas,1982,128962939,7030.835878
Brazil,Americas,1987,142938076,7807.095818
Brazil,Americas,1992,155975974,6950.283021
Brazil,Americas,1997,168546719,7957.980824
Brazil,Americas,2002,179914212,8131.212843
Brazil,Americas,2007,190010647,9065.800825
Bulgaria,Europe,1962,8012946,4254.337839
Bulgaria,Europe,1967,8310226,5577.0028
Bulgaria,Europe,1972,8576200,6597.494398
Bulgaria,Europe,1977,8797022,7612.240438
Bulgaria,Europe,1982,8892098,8224.191647
Bulgaria,Europe,1987,8971958,8239.854824
Bulgaria,Europe,1992,8658506,6302.623438
Bulgaria,Europe,1997,8066057,5970.38876
Bulgaria,Europe,2002,7661799,7696.777725
Bulgaria,Europe,2007,7322858,10680.79282
Burkina Faso,Africa,1962,4919632,722.5120206
Burkina Faso,Africa,1967,5127935,794.8265597
Burkina Faso,Africa,1972,5433886,854.7359763
Burkina Faso,Africa,1977,5889574,743.3870368
Burkina Faso,Africa,1982,6634596,807.1985855
Burkina Faso,Africa,1987,7586551,912.0631417
Burkina Faso,Africa,1992,8878303,931.7527731
Burkina Faso,Africa,1997,10352843,946.2949618
Burkina Faso,Africa,2002,12251209,1037.645221
Burkina Faso,Africa,2007,14326203,1217.032994
Burundi,Africa,1962,2961915,355.2032273
Burundi,Africa,1967,3330989,412.9775136
Burundi,Africa,1972,3529983,464.0995039
Burundi,Africa,1977,3834415,556.1032651
Burundi,Africa,1982,4580410,559.603231
Burundi,Africa,1987,5126023,621.8188189
Burundi,Africa,1992,5809236,631.6998778
Burundi,Africa,1997,6121610,463.1151478
Burundi,Africa,2002,7021078,446.4035126
Burundi,Africa,2007,8390505,430.0706916
Cambodia,Asia,1962,6083619,496.9136476
Cambodia,Asia,1967,6960067,523.4323142
Cambodia,Asia,1972,7450606,421.6240257
Cambodia,Asia,1977,6978607,524.9721832
Cambodia,Asia,1982,7272485,624.4754784
Cambodia,Asia,1987,8371791,683.8955732
Cambodia,Asia,1992,10150094,682.3031755
Cambodia,Asia,1997,11782962,734.28517
Cambodia,Asia,2002,12926707,896.2260153
Cambodia,Asia,2007,14131858,1713.778686
Cameroon,Africa,1962,5793633,1399.607441
Cameroon,Africa,1967,6335506,1508.453148
Cameroon,Africa,1972,7021028,1684.146528
Cameroon,Africa,1977,7959865,1783.432873
Cameroon,Africa,1982,9250831,2367.983282
Cameroon,Africa,1987,10780667,2602.664206
Cameroon,Africa,1992,12467171,1793.163278
Cameroon,Africa,1997,14195809,1694.337469
Cameroon,Africa,2002,15929988,1934.011449
Cameroon,Africa,2007,17696293,2042.09524
Canada,Americas,1962,18985849,13462.48555
Canada,Americas,1967,20819767,16076.58803
Canada,Americas,1972,22284500,18970.57086
Canada,Americas,1977,23796400,22090.88306
Canada,Americas,1982,25201900,22898.79214
Canada,Americas,1987,26549700,26626.51503
Canada,Americas,1992,28523502,26342.88426
Canada,Americas,1997,30305843,28954.92589
Canada,Americas,2002,31902268,33328.96507
Canada,Americas,2007,33390141,36319.23501
Central African Republic,Africa,1962,1523478,1193.068753
Central African Republic,Africa,1967,1733638,1136.056615
Central African Republic,Africa,1972,1927260,1070.013275
Central African Republic,Africa,1977,2167533,1109.374338
Central African Republic,Africa,1982,2476971,956.7529907
Central African Republic,Africa,1987,2840009,844.8763504
Central African Republic,Africa,1992,3265124,747.9055252
Central African Republic,Africa,1997,3696513,740.5063317
Central African Republic,Africa,2002,4048013,738.6906068
Central African Republic,Africa,2007,4369038,706.016537
Chad,Africa,1962,3150417,1389.817618
Chad,Africa,1967,3495967,1196.810565
Chad,Africa,1972,3899068,1104.103987
Chad,Africa,1977,4388260,1133.98495
Chad,Africa,1982,4875118,797.9081006
Chad,Africa,1987,5498955,952.386129
Chad,Africa,1992,6429417,1058.0643
Chad,Africa,1997,7562011,1004.961353
Chad,Africa,2002,8835739,1156.18186
Chad,Africa,2007,10238807,1704.063724
Chile,Americas,1962,7961258,4519.094331
Chile,Americas,1967,8858908,5106.654313
Chile,Americas,1972,9717524,5494.024437
Chile,Americas,1977,10599793,4756.763836
Chile,Americas,1982,11487112,5095.665738
Chile,Americas,1987,12463354,5547.063754
Chile,Americas,1992,13572994,7596.125964
Chile,Americas,1997,14599929,10118.05318
Chile,Americas,2002,15497046,10778.78385
Chile,Americas,2007,16284741,13171.63885
China,Asia,1962,665770000,487.6740183
China,Asia,1967,754550000,612.7056934
China,Asia,1972,862030000,676.9000921
China,Asia,1977,943455000,741.2374699
China,Asia,1982,1000281000,962.4213805
China,Asia,1987,1084035000,1378.904018
China,Asia,1992,1164970000,1655.784158
China,Asia,1997,1230075000,2289.234136
China,Asia,2002,1280400000,3119.280896
China,Asia,2007,1318683096,4959.114854
Colombia,Americas,1962,17009885,2492.351109
Colombia,Americas,1967,19764027,2678.729839
Colombia,Americas,1972,22542890,3264.660041
Colombia,Americas,1977,25094412,3815.80787
Colombia,Americas,1982,27764644,4397.575659
Colombia,Americas,1987,30964245,4903.2191
Colombia,Americas,1992,34202721,5444.648617
Colombia,Americas,1997,37657830,6117.361746
Colombia,Americas,2002,41008227,5755.259962
Colombia,Americas,2007,44227550,7006.580419
Comoros,Africa,1962,191689,1406.648278
Comoros,Africa,1967,217378,1876.029643
Comoros,Africa,1972,250027,1937.577675
Comoros,Africa,1977,304739,1172.603047
Comoros,Africa,1982,348643,1267.100083
Comoros,Africa,1987,395114,1315.980812
Comoros,Africa,1992,454429,1246.90737
Comoros,Africa,1997,527982,1173.618235
Comoros,Africa,2002,614382,1075.811558
Comoros,Africa,2007,710960,986.1478792
"Congo, Dem. Rep.",Africa,1962,17486434,896.3146335
"Congo, Dem. Rep.",Africa,1967,19941073,861.5932424
"Congo, Dem. Rep.",Africa,1972,23007669,904.8960685
"Congo, Dem. Rep.",Africa,1977,26480870,795.757282
"Congo, Dem. Rep.",Africa,1982,30646495,673.7478181
"Congo, Dem. Rep.",Africa,1987,35481645,672.774812
"Congo, Dem. Rep.",Africa,1992,41672143,457.7191807
"Congo, Dem. Rep.",Africa,1997,47798986,312.188423
"Congo, Dem. Rep.",Africa,2002,55379852,241.1658765
"Congo, Dem. Rep.",Africa,2007,64606759,277.5518587
"Congo, Rep.",Africa,1962,1047924,2464.783157
"Congo, Rep.",Africa,1967,1179760,2677.939642
"Congo, Rep.",Africa,1972,1340458,3213.152683
"Congo, Rep.",Africa,1977,1536769,3259.178978
"Congo, Rep.",Africa,1982,1774735,4879.507522
"Congo, Rep.",Africa,1987,2064095,4201.194937
"Congo, Rep.",Africa,1992,2409073,4016.239529
"Congo, Rep.",Africa,1997,2800947,3484.164376
"Congo, Rep.",Africa,2002,3328795,3484.06197
"Congo, Rep.",Africa,2007,3800610,3632.557798
Costa Rica,Americas,1962,1345187,3460.937025
Costa Rica,Americas,1967,1588717,4161.727834
Costa Rica,Americas,1972,1834796,5118.146939
Costa Rica,Americas,1977,2108457,5926.876967
Costa Rica,Americas,1982,2424367,5262.734751
Costa Rica,Americas,1987,2799811,5629.915318
Costa Rica,Americas,1992,3173216,6160.416317
Costa Rica,Americas,1997,3518107,6677.045314
Costa Rica,Americas,2002,3834934,7723.447195
Costa Rica,Americas,2007,4133884,9645.06142
Cote d'Ivoire,Africa,1962,3832408,1728.869428
Cote d'Ivoire,Africa,1967,4744870,2052.050473
Cote d'Ivoire,Africa,1972,6071696,2378.201111
Cote d'Ivoire,Africa,1977,7459574,2517.736547
Cote d'Ivoire,Africa,1982,9025951,2602.710169
Cote d'Ivoire,Africa,1987,10761098,2156.956069
Cote d'Ivoire,Africa,1992,12772596,1648.073791
Cote d'Ivoire,Africa,1997,14625967,1786.265407
Cote d'Ivoire,Africa,2002,16252726,1648.800823
Cote d'Ivoire,Africa,2007,18013409,1544.750112
Croatia,Europe,1962,4076557,5477.890018
Croatia,Europe,1967,4174366,6960.297861
Croatia,Europe,1972,4225310,9164.090127
Croatia,Europe,1977,4318673,11305.38517
Croatia,Europe,1982,4413368,13221.82184
Croatia,Europe,1987,4484310,13822.58394
Croatia,Europe,1992,4494013,8447.794873
Croatia,Europe,1997,4444595,9875.604515
Croatia,Europe,2002,4481020,11628.38895
Croatia,Europe,2007,4493312,14619.22272
Cuba,Americas,1962,7254373,5180.75591
Cuba,Americas,1967,8139332,5690.268015
Cuba,Americas,1972,8831348,5305.445256
Cuba,Americas,1977,9537988,6380.494966
Cuba,Americas,1982,9789224,7316.918107
Cuba,Americas,1987,10239839,7532.924763
Cuba,Americas,1992,10723260,5592.843963
Cuba,Americas,1997,10983007,5431.990415
Cuba,Americas,2002,11226999,6340.646683
Cuba,Americas,2007,11416987,8948.102923
Czech Republic,Europe,1962,9620282,10136.86713
Czech Republic,Europe,1967,9835109,11399.44489
Czech Republic,Europe,1972,9862158,13108.4536
Czech Republic,Europe,1977,10161915,14800.16062
Czech Republic,Europe,1982,10303704,15377.22855
Czech Republic,Europe,1987,10311597,16310.4434
Czech Republic,Europe,1992,10315702,14297.02122
Czech Republic,Europe,1997,10300707,16048.51424
Czech Republic,Europe,2002,10256295,17596.21022
Czech Republic,Europe,2007,10228744,22833.30851
Denmark,Europe,1962,4646899,13583.31351
Denmark,Europe,1967,4838800,15937.21123
Denmark,Europe,1972,4991596,18866.20721
Denmark,Europe,1977,5088419,20422.9015
Denmark,Europe,1982,5117810,21688.04048
Denmark,Europe,1987,5127024,25116.17581
Denmark,Europe,1992,5171393,26406.73985
Denmark,Europe,1997,5283663,29804.34567
Denmark,Europe,2002,5374693,32166.50006
Denmark,Europe,2007,5468120,35278.41874
Djibouti,Africa,1962,89898,3020.989263
Djibouti,Africa,1967,127617,3020.050513
Djibouti,Africa,1972,178848,3694.212352
Djibouti,Africa,1977,228694,3081.761022
Djibouti,Africa,1982,305991,2879.468067
Djibouti,Africa,1987,311025,2880.102568
Djibouti,Africa,1992,384156,2377.156192
Djibouti,Africa,1997,417908,1895.016984
Djibouti,Africa,2002,447416,1908.260867
Djibouti,Africa,2007,496374,2082.481567
Dominican Republic,Americas,1962,3453434,1662.137359
Dominican Republic,Americas,1967,4049146,1653.723003
Dominican Republic,Americas,1972,4671329,2189.874499
Dominican Republic,Americas,1977,5302800,2681.9889
Dominican Republic,Americas,1982,5968349,2861.092386
Dominican Republic,Americas,1987,6655297,2899.842175
Dominican Republic,Americas,1992,7351181,3044.214214
Dominican Republic,Americas,1997,7992357,3614.101285
Dominican Republic,Americas,2002,8650322,4563.808154
Dominican Republic,Americas,2007,9319622,6025.374752
Ecuador,Americas,1962,4681707,4086.114078
Ecuador,Americas,1967,5432424,4579.074215
Ecuador,Americas,1972,6298651,5280.99471
Ecuador,Americas,1977,7278866,6679.62326
Ecuador,Americas,1982,8365850,7213.791267
Ecuador,Americas,1987,9545158,6481.776993
Ecuador,Americas,1992,10748394,7103.702595
Ecuador,Americas,1997,11911819,7429.455877
Ecuador,Americas,2002,12921234,5773.044512
Ecuador,Americas,2007,13755680,6873.262326
Egypt,Africa,1962,28173309,1693.335853
Egypt,Africa,1967,31681188,1814.880728
Egypt,Africa,1972,34807417,2024.008147
Egypt,Africa,1977,38783863,2785.493582
Egypt,Africa,1982,45681811,3503.729636
Egypt,Africa,1987,52799062,3885.46071
Egypt,Africa,1992,59402198,3794.755195
Egypt,Africa,1997,66134291,4173.181797
Egypt,Africa,2002,73312559,4754.604414
Egypt,Africa,2007,80264543,5581.180998
El Salvador,Americas,1962,2747687,3776.803627
El Salvador,Americas,1967,3232927,4358.595393
El Salvador,Americas,1972,3790903,4520.246008
El Salvador,Americas,1977,4282586,5138.922374
El Salvador,Americas,1982,4474873,4098.344175
El Salvador,Americas,1987,4842194,4140.442097
El Salvador,Americas,1992,5274649,4444.2317
El Salvador,Americas,1997,5783439,5154.825496
El Salvador,Americas,2002,6353681,5351.568666
El Salvador,Americas,2007,6939688,5728.353514
Equatorial Guinea,Africa,1962,249220,582.8419714
Equatorial Guinea,Africa,1967,259864,915.5960025
Equatorial Guinea,Africa,1972,277603,672.4122571
Equatorial Guinea,Africa,1977,192675,958.5668124
Equatorial Guinea,Africa,1982,285483,927.8253427
Equatorial Guinea,Africa,1987,341244,966.8968149
Equatorial Guinea,Africa,1992,387838,1132.055034
Equatorial Guinea,Africa,1997,439971,2814.480755
Equatorial Guinea,Africa,2002,495627,7703.4959
Equatorial Guinea,Africa,2007,551201,12154.08975
Eritrea,Africa,1962,1666618,380.9958433
Eritrea,Africa,1967,1820319,468.7949699
Eritrea,Africa,1972,2260187,514.3242082
Eritrea,Africa,1977,2512642,505.7538077
Eritrea,Africa,1982,2637297,524.8758493
Eritrea,Africa,1987,2915959,521.1341333
Eritrea,Africa,1992,3668440,582.8585102
Eritrea,Africa,1997,4058319,913.47079
Eritrea,Africa,2002,4414865,765.3500015
Eritrea,Africa,2007,4906585,641.3695236
Ethiopia,Africa,1962,25145372,419.4564161
Ethiopia,Africa,1967,27860297,516.1186438
Ethiopia,Africa,1972,30770372,566.2439442
Ethiopia,Africa,1977,34617799,556.8083834
Ethiopia,Africa,1982,38111756,577.8607471
Ethiopia,Africa,1987,42999530,573.7413142
Ethiopia,Africa,1992,52088559,421.3534653
Ethiopia,Africa,1997,59861301,515.8894013
Ethiopia,Africa,2002,67946797,530.0535319
Ethiopia,Africa,2007,76511887,690.8055759
Finland,Europe,1962,4491443,9371.842561
Finland,Europe,1967,4605744,10921.63626
Finland,Europe,1972,4639657,14358.8759
Finland,Europe,1977,4738902,15605.42283
Finland,Europe,1982,4826933,18533.15761
Finland,Europe,1987,4931729,21141.01223
Finland,Europe,1992,5041039,20647.16499
Finland,Europe,1997,5134406,23723.9502
Finland,Europe,2002,5193039,28204.59057
Finland,Europe,2007,5238460,33207.0844
France,Europe,1962,47124000,10560.48553
France,Europe,1967,49569000,12999.91766
France,Europe,1972,51732000,16107.19171
France,Europe,1977,53165019,18292.63514
France,Europe,1982,54433565,20293.89746
France,Europe,1987,55630100,22066.44214
France,Europe,1992,57374179,24703.79615
France,Europe,1997,58623428,25889.78487
France,Europe,2002,59925035,28926.03234
France,Europe,2007,61083916,30470.0167
Gabon,Africa,1962,455661,6631.459222
Gabon,Africa,1967,489004,8358.761987
Gabon,Africa,1972,537977,11401.94841
Gabon,Africa,1977,706367,21745.57328
Gabon,Africa,1982,753874,15113.36194
Gabon,Africa,1987,880397,11864.40844
Gabon,Africa,1992,985739,13522.15752
Gabon,Africa,1997,1126189,14722.84188
Gabon,Africa,2002,1299304,12521.71392
Gabon,Africa,2007,1454867,13206.48452
Gambia,Africa,1962,374020,599.650276
Gambia,Africa,1967,439593,734.7829124
Gambia,Africa,1972,517101,756.0868363
Gambia,Africa,1977,608274,884.7552507
Gambia,Africa,1982,715523,835.8096108
Gambia,Africa,1987,848406,611.6588611
Gambia,Africa,1992,1025384,665.6244126
Gambia,Africa,1997,1235767,653.7301704
Gambia,Africa,2002,1457766,660.5855997
Gambia,Africa,2007,1688359,752.7497265
Germany,Europe,1962,73739117,12902.46291
Germany,Europe,1967,76368453,14745.62561
Germany,Europe,1972,78717088,18016.18027
Germany,Europe,1977,78160773,20512.92123
Germany,Europe,1982,78335266,22031.53274
Germany,Europe,1987,77718298,24639.18566
Germany,Europe,1992,80597764,26505.30317
Germany,Europe,1997,82011073,27788.88416
Germany,Europe,2002,82350671,30035.80198
Germany,Europe,2007,82400996,32170.37442
Ghana,Africa,1962,7355248,1190.041118
Ghana,Africa,1967,8490213,1125.69716
Ghana,Africa,1972,9354120,1178.223708
Ghana,Africa,1977,10538093,993.2239571
Ghana,Africa,1982,11400338,876.032569
Ghana,Africa,1987,14168101,847.0061135
Ghana,Africa,1992,16278738,925.060154
Ghana,Africa,1997,18418288,1005.245812
Ghana,Africa,2002,20550751,1111.984578
Ghana,Africa,2007,22873338,1327.60891
Greece,Europe,1962,8448233,6017.190733
Greece,Europe,1967,8716441,8513.097016
Greece,Europe,1972,8888628,12724.82957
Greece,Europe,1977,9308479,14195.52428
Greece,Europe,1982,9786480,15268.42089
Greece,Europe,1987,9974490,16120.52839
Greece,Europe,1992,10325429,17541.49634
Greece,Europe,1997,10502372,18747.69814
Greece,Europe,2002,10603863,22514.2548
Greece,Europe,2007,10706290,27538.41188
Guatemala,Americas,1962,4208858,2750.364446
Guatemala,Americas,1967,4690773,3242.531147
Guatemala,Americas,1972,5149581,4031.408271
Guatemala,Americas,1977,5703430,4879.992748
Guatemala,Americas,1982,6395630,4820.49479
Guatemala,Americas,1987,7326406,4246.485974
Guatemala,Americas,1992,8486949,4439.45084
Guatemala,Americas,1997,9803875,4684.313807
Guatemala,Americas,2002,11178650,4858.347495
Guatemala,Americas,2007,12572928,5186.050003
Guinea,Africa,1962,3140003,686.3736739
Guinea,Africa,1967,3451418,708.7595409
Guinea,Africa,1972,3811387,741.6662307
Guinea,Africa,1977,4227026,874.6858643
Guinea,Africa,1982,4710497,857.2503577
Guinea,Africa,1987,5650262,805.5724718
Guinea,Africa,1992,6990574,794.3484384
Guinea,Africa,1997,8048834,869.4497668
Guinea,Africa,2002,8807818,945.5835837
Guinea,Africa,2007,9947814,942.6542111
Guinea-Bissau,Africa,1962,627820,522.0343725
Guinea-Bissau,Africa,1967,601287,715.5806402
Guinea-Bissau,Africa,1972,625361,820.2245876
Guinea-Bissau,Africa,1977,745228,764.7259628
Guinea-Bissau,Africa,1982,825987,838.1239671
Guinea-Bissau,Africa,1987,927524,736.4153921
Guinea-Bissau,Africa,1992,1050938,745.5398706
Guinea-Bissau,Africa,1997,1193708,796.6644681
Guinea-Bissau,Africa,2002,1332459,575.7047176
Guinea-Bissau,Africa,2007,1472041,579.231743
Haiti,Americas,1962,3880130,1796.589032
Haiti,Americas,1967,4318137,1452.057666
Haiti,Americas,1972,4698301,1654.456946
Haiti,Americas,1977,4908554,1874.298931
Haiti,Americas,1982,5198399,2011.159549
Haiti,Americas,1987,5756203,1823.015995
Haiti,Americas,1992,6326682,1456.309517
Haiti,Americas,1997,6913545,1341.726931
Haiti,Americas,2002,7607651,1270.364932
Haiti,Americas,2007,8502814,1201.637154
Honduras,Americas,1962,2090162,2291.156835
Honduras,Americas,1967,2500689,2538.269358
Honduras,Americas,1972,2965146,2529.842345
Honduras,Americas,1977,3055235,3203.208066
Honduras,Americas,1982,3669448,3121.760794
Honduras,Americas,1987,4372203,3023.096699
Honduras,Americas,1992,5077347,3081.694603
Honduras,Americas,1997,5867957,3160.454906
Honduras,Americas,2002,6677328,3099.72866
Honduras,Americas,2007,7483763,3548.330846
"Hong Kong, China",Asia,1962,3305200,4692.648272
"Hong Kong, China",Asia,1967,3722800,6197.962814
"Hong Kong, China",Asia,1972,4115700,8315.928145
"Hong Kong, China",Asia,1977,4583700,11186.14125
"Hong Kong, China",Asia,1982,5264500,14560.53051
"Hong Kong, China",Asia,1987,5584510,20038.47269
"Hong Kong, China",Asia,1992,5829696,24757.60301
"Hong Kong, China",Asia,1997,6495918,28377.63219
"Hong Kong, China",Asia,2002,6762476,30209.01516
"Hong Kong, China",Asia,2007,6980412,39724.97867
Hungary,Europe,1962,10063000,7550.359877
Hungary,Europe,1967,10223422,9326.64467
Hungary,Europe,1972,10394091,10168.65611
Hungary,Europe,1977,10637171,11674.83737
Hungary,Europe,1982,10705535,12545.99066
Hungary,Europe,1987,10612740,12986.47998
Hungary,Europe,1992,10348684,10535.62855
Hungary,Europe,1997,10244684,11712.7768
Hungary,Europe,2002,10083313,14843.93556
Hungary,Europe,2007,9956108,18008.94444
Iceland,Europe,1962,182053,10350.15906
Iceland,Europe,1967,198676,13319.89568
Iceland,Europe,1972,209275,15798.06362
Iceland,Europe,1977,221823,19654.96247
Iceland,Europe,1982,233997,23269.6075
Iceland,Europe,1987,244676,26923.20628
Iceland,Europe,1992,259012,25144.39201
Iceland,Europe,1997,271192,28061.09966
Iceland,Europe,2002,288030,31163.20196
Iceland,Europe,2007,301931,36180.78919
India,Asia,1962,454000000,658.3471509
India,Asia,1967,506000000,700.7706107
India,Asia,1972,567000000,724.032527
India,Asia,1977,634000000,813.337323
India,Asia,1982,708000000,855.7235377
India,Asia,1987,788000000,976.5126756
India,Asia,1992,872000000,1164.406809
India,Asia,1997,959000000,1458.817442
India,Asia,2002,1034172547,1746.769454
India,Asia,2007,1110396331,2452.210407
Indonesia,Asia,1962,99028000,849.2897701
Indonesia,Asia,1967,109343000,762.4317721
Indonesia,Asia,1972,121282000,1111.107907
Indonesia,Asia,1977,136725000,1382.702056
Indonesia,Asia,1982,153343000,1516.872988
Indonesia,Asia,1987,169276000,1748.356961
Indonesia,Asia,1992,184816000,2383.140898
Indonesia,Asia,1997,199278000,3119.335603
Indonesia,Asia,2002,211060000,2873.91287
Indonesia,Asia,2007,223547000,3540.651564
Iran,Asia,1962,22874000,4187.329802
Iran,Asia,1967,26538000,5906.731805
Iran,Asia,1972,30614000,9613.818607
Iran,Asia,1977,35480679,11888.59508
Iran,Asia,1982,43072751,7608.334602
Iran,Asia,1987,51889696,6642.881371
Iran,Asia,1992,60397973,7235.653188
Iran,Asia,1997,63327987,8263.590301
Iran,Asia,2002,66907826,9240.761975
Iran,Asia,2007,69453570,11605.71449
Iraq,Asia,1962,7240260,8341.737815
Iraq,Asia,1967,8519282,8931.459811
Iraq,Asia,1972,10061506,9576.037596
Iraq,Asia,1977,11882916,14688.23507
